202001,21.48,22.24,9.16,147,89,9,,,,3.17 ,1.70 ,4.81 
202002,,,,146,99,7,147,89,9,7.80 ,8.21 ,0.16 
202003,24.66,22.32,24.84,198,78,13,146,99,7,3.50 ,0.05 ,0.59 
202004,23.89,24.9,29.66,180,69,14,198,78,13,0.35 ,0.00 ,0.89 
202005,22.85,23.74,29.78,162,57,8,180,69,14,2.21 ,3.21 ,0.97 
202006,27.49,25.41,30.38,127,52,14,162,57,8,0.32 ,0.66 ,0.00 
202007,12.74,24.23,29.73,108,47,11,127,52,14,2.46 ,0.13 ,0.00 
202008,26.2,21.51,27.98,99,51,15,108,47,11,0.81 ,4.58 ,8.46 
202009,23.51,23.77,26.54,94,50,7,99,51,15,4.72 ,1.59 ,2.97 
202010,27.67,23,26.52,67,48,9,94,50,7,15.10 ,9.36 ,5.51 
202011,25.44,19.39,28.65,78,40,14,67,48,9,5.59 ,7.20 ,4.44 
202012,27.54,24.16,20.95,70,42,14,78,40,14,7.89 ,6.62 ,8.48 
202013,27.78,22.9,25.98,90,41,10,70,42,14,7.41 ,10.06 ,17.09 
202014,26.63,22.59,28.88,84,56,11,90,41,10,4.63 ,2.38 ,0.43 
202015,26.22,23.93,26.1,83,43,11,84,56,11,10.35 ,7.29 ,11.95 
202016,11.38,22.14,25.98,78,57,16,83,43,11,14.90 ,5.04 ,13.80 
202017,,,,76,38,9,78,57,16,7.41 ,5.06 ,14.46 
202018,17.1,24.35,26.16,80,37,9,76,38,9,12.02 ,10.13 ,21.09 
202019,17.08,17.05,26.43,79,40,14,80,37,9,9.35 ,11.08 ,11.22 
202020,18.05,22.79,26.3,97,46,11,79,40,14,13.32 ,10.55 ,13.82 
202021,7.01,24.38,25.27,93,47,12,97,46,11,2.97 ,3.40 ,12.42 
202022,26.11,24.46,26.84,60,42,10,93,47,12,1.35 ,1.62 ,11.89 
202023,24.65,25.86,-27.91,62,33,6,60,42,10,4.41 ,4.96 ,16.86 
202024,20.7,22.58,27.25,62,39,12,62,33,6,3.50 ,8.29 ,15.79 
202025,20.69,23.64,25.1,45,24,7,62,39,12,4.84 ,7.00 ,13.54 
202026,25.28,22.95,25.67,55,38,9,45,24,7,3.46 ,7.54 ,8.38 
202027,25.35,63.06,23.64,61,51,13,55,38,9,0.24 ,1.43 ,0.26 
202028,28.16,21.56,22.05,50,50,22,61,51,13,0.24 ,1.52 ,0.96 
202029,23.7,23.89,27.05,44,38,13,50,50,22,5.19 ,3.07 ,12.71 
202030,19.67,20.19,27.05,59,36,15,44,38,13,0.74 ,0.49 ,0.00 
202031,27.55,23.55,27.43,44,38,13,59,36,15,2.20 ,3.65 ,7.60 
202032,28.77,20.49,28.25,38,27,14,44,38,13,3.22 ,6.20 ,9.11 
202033,23.81,23.08,27.52,44,14,8,38,27,14,1.53 ,4.16 ,11.97 
202034,24.41,17.41,26.87,44,44,11,44,14,8,2.28 ,3.21 ,4.14 
202035,24.61,22.17,29.46,46,29,12,44,44,11,0.82 ,7.05 ,10.28 
202036,27.31,17.83,10.06,39,31,4,46,29,12,4.37 ,7.65 ,6.56 
202037,,,,29,39,8,39,31,4,8.34 ,8.50 ,11.51 
202038,27.64,22.99,27.93,44,37,11,29,39,8,4.28 ,5.45 ,4.64 
202039,,,,32,42,13,44,37,11,9.77 ,6.53 ,7.18 
202040,22.74,24.32,28.9,49,31,8,32,42,13,5.13 ,8.86 ,12.49 
202041,22.56,22.78,27.3,40,29,4,49,31,8,4.83 ,4.12 ,15.35 
202042,27.25,22.59,27.46,46,27,7,40,29,4,3.75 ,4.50 ,5.12 
202043,18.82,16.03,27.96,48,27,7,46,27,7,9.69 ,10.38 ,10.88 
202044,23.93,21.86,28.25,37,24,11,48,27,7,8.04 ,4.50 ,23.87 
202045,25.92,25.78,28.52,48,27,15,37,24,11,2.45 ,3.92 ,5.29 
202046,28.59,22.1,26.52,59,22,7,48,27,15,16.15 ,13.24 ,13.81 
202047,24.09,22.3,27.74,49,28,2,59,22,7,2.43 ,2.26 ,12.27 
202048,22.84,22,28.08,66,21,7,49,28,2,2.42 ,7.17 ,0.77 
202049,24.47,20.95,28.99,43,30,9,66,21,7,0.00 ,5.82 ,0.95 
202050,23.53,62.87,21.08,53,14,13,43,30,9,4.85 ,0.32 ,0.48 
202051,26.23,21.94,30.06,41,22,10,53,14,13,0.00 ,0.11 ,0.00 
202052,21.82,21.9,29.74,37,19,17,41,22,10,12.58 ,2.52 ,8.00 
202101,22.59,23.27,31.85,52,16,17,37,19,17,6.69 ,5.83 ,4.71 
202102,26.17,18.37,28.56,31,35,16,52,16,17,6.88 ,4.29 ,3.19 
202103,25.42,24.1,7,31,26,19,31,35,16,5.39 ,3.64 ,7.05 
202104,50.83,21.19,30.54,24,26,6,31,26,19,3.26 ,2.01 ,0.03 
202105,25.96,24.44,26.27,22,30,23,24,26,6,6.86 ,6.45 ,0.29 
202106,23.27,23.77,25.39,31,22,26,22,30,23,0.95 ,0.00 ,0.80 
202107,27.68,22.23,31.57,35,23,23,31,22,26,4.07 ,2.37 ,0.73 
202108,27.19,22.46,30.02,34,21,13,35,23,23,6.34 ,0.54 ,0.02 
202109,27.72,24.53,30.2,26,25,18,34,21,13,0.00 ,0.00 ,0.35 
202110,25.21,22.88,30.69,41,22,24,26,25,18,1.76 ,1.00 ,3.51 
202111,26.35,25.2,32.53,44,14,14,41,22,24,0.34 ,0.05 ,0.00 
202112,28.49,22.77,33.55,23,24,24,44,14,14,6.38 ,5.95 ,6.79 
202113,28.46,24.5,32.79,26,20,22,23,24,24,13.66 ,7.12 ,10.67 
202114,28.12,24.81,28.61,27,24,38,26,20,22,10.54 ,9.89 ,16.69 
202115,26.33,22.71,25.58,32,22,34,27,24,38,9.53 ,8.94 ,7.61 
202116,26.27,24.69,24.99,29,22,30,32,22,34,4.56 ,2.95 ,18.34 
202117,25.76,24.71,25.97,44,20,32,29,22,30,8.10 ,10.12 ,17.06 
202118,27.11,25.2,25.76,37,24,45,44,20,32,14.63 ,9.79 ,21.40 
202119,29.89,22.9,26.16,43,20,51,37,24,45,8.18 ,9.54 ,16.40 
202120,23.46,23.85,56.11,51,21,57,43,20,51,7.03 ,13.19 ,10.12 
202121,24.14,22.24,24.97,48,17,93,51,21,57,6.68 ,12.22 ,22.24 
202122,24.39,23.21,24.16,59,19,104,48,17,93,5.23 ,10.07 ,11.11 
202123,26.35,20.93,16.84,55,23,86,59,19,104,0.37 ,2.46 ,29.01 
202124,26.49,8.58,19.97,61,22,91,55,23,86,4.79 ,3.46 ,16.97 
202125,26.78,23.83,20.53,57,23,68,61,22,91,0.82 ,2.55 ,0.00 
202126,26.43,21.2,23.54,40,23,54,57,23,68,4.01 ,6.58 ,23.92 
202127,26.88,22.9,26.03,51,27,57,40,23,54,1.29 ,4.44 ,9.17 
202128,22.78,23.19,26.25,33,35,59,51,27,57,0.39 ,1.12 ,15.73 
202129,22.75,19.05,26.42,29,22,45,33,35,59,0.78 ,0.88 ,8.00 
202130,23.61,23.23,40.74,39,19,55,29,22,45,5.35 ,4.81 ,19.57 
202131,,,,42,20,55,39,19,55,4.49 ,3.97 ,14.31 
202132,71.47,22.02,26.26,35,22,66,42,20,55,3.26 ,2.29 ,18.84 
202133,27.45,18.59,28.02,29,18,56,35,22,66,0.85 ,5.35 ,12.86 
202134,24.26,21.45,26.76,28,25,44,29,18,56,0.63 ,1.10 ,12.30 
202135,28.88,24.26,25.79,31,27,40,28,25,44,0.00 ,5.80 ,8.31 
202136,28.08,24.76,28.64,33,25,39,31,27,40,2.25 ,8.85 ,8.47 
202137,27.79,25.89,26.75,23,12,50,33,25,39,3.87 ,5.82 ,9.19 
202138,26.8,24.27,29.8,27,22,35,23,12,50,0.63 ,4.78 ,6.34 
202139,24.06,22.58,29.39,27,22,33,27,22,35,2.95 ,7.83 ,13.38 
202140,25.51,22.56,29.19,22,27,31,27,22,33,4.77 ,12.57 ,22.31 
202141,27.9,22.68,28.71,25,23,35,22,27,31,3.90 ,11.09 ,14.25 
202142,26.95,22.61,28.25,25,24,41,25,23,35,4.68 ,5.26 ,8.34 
202143,29.48,19.61,28.86,0,0,0,25,24,41,1.06 ,5.45 ,11.63 
202144,26.97,24.44,26.72,0,0,0,0,0,0,8.35 ,6.54 ,11.89 
202145,27.01,22.53,28.7,0,0,0,0,0,0,3.89 ,4.64 ,11.32 
202146,27.41,22.5,27.36,0,0,0,0,0,0,6.86 ,4.19 ,3.21 
202147,24.39,23.14,27.18,0,0,0,0,0,0,5.85 ,8.73 ,4.29 
202148,22.13,21.44,24.41,0,0,0,0,0,0,10.41 ,9.46 ,0.56 
202149,24.51,22.16,30.4,0,0,0,0,0,0,1.64 ,0.95 ,0.47 
202150,28.39,17.27,26.63,0,0,0,0,0,0,4.22 ,2.43 ,3.56 
202151,25.93,19.07,29.29,0,0,0,0,0,0,3.32 ,1.03 ,1.22 
202152,26.73,23.72,28.96,0,0,0,0,0,0,4.88 ,0.19 ,0.71 
